file,timeY,resultY,timeZ,resultZ,timeC,resultC,resultDc,smtTimeDc,smtTimeDO,smtTimeDOOOI,smtTimeDOI,resultDO,resultDOOOI,resultDOI,result
10teams,16.21,sat,,,,,sat,0.47,0.29,0.26,0.26,$\delta$,$\delta$,$\delta$,sat
16_n14,,,,,,,sat,2645.19,654.51,913.66,566.26,$\delta$,$\delta$,$\delta$,sat
22433,3081.14,sat,20378.77,sat,6118.6,sat,sat,0.15,0.09,0.08,0.08,$\delta$,$\delta$,$\delta$,sat
23588,65.99,sat,598.43,sat,446.18,sat,sat,0.12,0.07,0.06,0.06,$\delta$,$\delta$,$\delta$,sat
25fv47,,,,,,,sat,0.7,0.38,0.27,1.06,$\delta$,$\delta$,$\delta$,sat
30_70_45_095_100,0.1,sat,2.51,sat,4.32,sat,sat,2.58,1.61,1.63,13.67,$\delta$,$\delta$,$\delta$,sat
30n20b8,4.8,sat,,,,,sat,4.27,2.34,2.34,2.4,$\delta$,$\delta$,$\delta$,sat
50v-10,0.01,sat,0.08,sat,0.38,sat,sat,0.27,0.15,0.15,0.14,$\delta$,$\delta$,$\delta$,sat
80bau3b,1.96,sat,18.6,sat,4.5,sat,sat,1.47,0.82,0.81,0.85,$\delta$,$\delta$,$\delta$,sat
Linf_520c,34856.03,sat,,,,,,,,,,,,,sat
Test3,48.09,sat,45.16,sat,62.0,sat,sat,28.25,14.2,14.48,14.32,$\delta$,$\delta$,$\delta$,sat
a1c1s1,0.96,sat,11184.04,sat,181.64,sat,sat,0.63,0.42,0.36,0.38,$\delta$,$\delta$,$\delta$,sat
aa01,,,,,,,sat,10.14,4.81,4.79,4.64,$\delta$,$\delta$,$\delta$,sat
aa03,293.12,sat,,,,,sat,8.47,4.16,3.8,3.97,$\delta$,$\delta$,$\delta$,sat
aa3,86.65,sat,,,,,sat,7.56,17.57,3.63,3.73,$\delta$,$\delta$,$\delta$,sat
aa4,0.81,sat,,,,,sat,2.39,9.16,1.2,1.26,$\delta$,$\delta$,$\delta$,sat
aa5,18.64,sat,,,,,sat,6.68,14.79,2.86,2.96,$\delta$,$\delta$,$\delta$,sat
aa6,4.49,sat,,,,,sat,4.51,11.84,2.16,2.36,$\delta$,$\delta$,$\delta$,sat
acc-tight4,,,,,,,sat,5.74,2.84,2.71,2.92,$\delta$,$\delta$,$\delta$,sat
acc-tight5,,,,,,,sat,4.58,2.52,2.36,2.47,$\delta$,$\delta$,$\delta$,sat
acc-tight6,,,,,,,sat,4.31,2.21,2.13,2.23,$\delta$,$\delta$,$\delta$,sat
adlittle,0.0,sat,0.03,sat,0.03,sat,sat,0.02,0.01,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
afiro,0.0,sat,0.01,sat,0.02,sat,sat,0.0,0.0,0.0,0.0,$\delta$,$\delta$,$\delta$,sat
aflow30a,5.46,sat,0.09,sat,0.24,sat,sat,0.15,0.11,0.08,0.1,$\delta$,$\delta$,$\delta$,sat
aflow40b,114.1,sat,0.3,sat,0.82,sat,sat,0.53,0.37,0.27,0.28,$\delta$,$\delta$,$\delta$,sat
agg,0.04,sat,0.34,sat,0.18,sat,sat,0.08,0.07,0.05,0.05,$\delta$,$\delta$,$\delta$,sat
agg2,0.01,sat,0.09,sat,0.19,sat,sat,0.11,0.09,0.07,0.07,$\delta$,$\delta$,$\delta$,sat
agg3,0.01,sat,0.08,sat,0.25,sat,sat,0.12,0.1,0.07,0.08,$\delta$,$\delta$,$\delta$,sat
air02,0.62,sat,0.86,sat,6.39,sat,sat,1.53,0.98,0.95,0.92,$\delta$,$\delta$,$\delta$,sat
air03,1.15,sat,1.59,sat,10.11,sat,sat,2.48,1.58,1.48,1.49,$\delta$,$\delta$,$\delta$,sat
air04,,,,,,,sat,9.48,4.54,4.52,4.32,$\delta$,$\delta$,$\delta$,sat
air05,13.27,sat,,,,,sat,2.85,1.4,1.33,1.3,$\delta$,$\delta$,$\delta$,sat
air06,,,,,,,sat,7.61,4.22,4.16,3.9,$\delta$,$\delta$,$\delta$,sat
aircraft,0.05,sat,0.56,sat,2.04,sat,sat,0.93,0.58,0.59,0.58,$\delta$,$\delta$,$\delta$,sat
aligninq,,,,,,,sat,0.6,0.36,0.32,0.38,$\delta$,$\delta$,$\delta$,sat
app1-2,0.93,unsat,17.47,unsat,17.97,unsat,unsat,590.31,45.17,42.19,44.4,,,,unsat
arki001,4.34,unsat,,,1.23,unsat,unsat,1.62,0.46,0.45,0.46,,,,unsat
ash608gpia-3col,31.67,sat,2.97,sat,5.74,sat,sat,4.41,2.42,1.98,2.78,$\delta$,$\delta$,$\delta$,sat
atlanta-ip,,,,,,,sat,17.98,9.83,8.77,8.92,$\delta$,$\delta$,$\delta$,sat
atm20-100,,,37.18,sat,10.82,sat,sat,2.86,1.99,1.8,1.76,$\delta$,$\delta$,$\delta$,sat
b2c1s1,0.24,sat,0.49,sat,1.66,sat,sat,0.69,0.43,0.39,0.38,$\delta$,$\delta$,$\delta$,sat
bab1,34.34,sat,,,,,sat,32.64,21.2,17.73,18.7,$\delta$,$\delta$,$\delta$,sat
bab3,703.72,sat,,,,,sat,4797.86,4343.08,,2054.01,$\delta$,,$\delta$,sat
bab5,4.3,sat,,,14186.92,sat,sat,8.51,5.24,5.15,5.56,$\delta$,$\delta$,$\delta$,sat
bal8x12,0.0,sat,0.02,sat,0.04,sat,sat,0.02,0.02,0.02,0.02,$\delta$,$\delta$,$\delta$,sat
bandm,,,13.05,sat,28.01,sat,sat,0.15,0.08,0.07,0.07,$\delta$,$\delta$,$\delta$,sat
bas1lp,715.82,sat,,,,,sat,10.61,6.66,6.18,6.52,$\delta$,$\delta$,$\delta$,sat
baxter,2.49,sat,4.89,sat,20.61,sat,sat,46.28,2.65,2.48,2.71,$\delta$,$\delta$,$\delta$,sat
bc,,,,,,,sat,23.54,2.95,2.8,2.85,$\delta$,$\delta$,$\delta$,sat
bc1,,,,,,,sat,23.9,2.96,2.81,2.89,$\delta$,$\delta$,$\delta$,sat
beaconfd,0.02,sat,0.06,sat,0.29,sat,sat,0.21,0.05,0.05,0.05,$\delta$,$\delta$,$\delta$,sat
beasleyC3,0.02,sat,0.15,sat,0.7,sat,sat,3.11,0.23,0.23,0.23,$\delta$,$\delta$,$\delta$,sat
bell3a,0.0,sat,0.02,sat,0.04,sat,sat,0.03,0.02,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
bell5,0.0,sat,0.01,sat,0.03,sat,sat,0.02,0.01,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
berlin_5_8_0,0.04,sat,0.11,sat,0.47,sat,sat,0.28,0.19,0.17,0.19,$\delta$,$\delta$,$\delta$,sat
bg512142,0.01,sat,0.08,sat,0.36,sat,sat,0.18,0.11,0.1,0.11,$\delta$,$\delta$,$\delta$,sat
bgdbg1,0.0,unsat,0.03,unsat,0.1,unsat,unsat,0.03,0.03,0.03,0.03,,,,unsat
bgetam,0.06,unsat,0.24,unsat,0.47,unsat,unsat,0.39,0.15,0.13,0.14,,,,unsat
bgindy,0.15,unsat,0.89,unsat,7.33,unsat,unsat,25.37,1.71,1.57,1.65,,,,unsat
bgprtr,0.0,unsat,,,0.01,unsat,unsat,0.01,0.0,0.0,0.0,,,,unsat
biella1,93.51,sat,1.01,sat,6.09,sat,sat,6.98,3.92,3.87,3.87,$\delta$,$\delta$,$\delta$,sat
bienst1,0.21,sat,0.68,sat,13673.64,sat,sat,0.09,0.06,0.05,0.06,$\delta$,$\delta$,$\delta$,sat
bienst2,0.2,sat,0.68,sat,13649.75,sat,sat,0.11,0.06,0.06,0.05,$\delta$,$\delta$,$\delta$,sat
binkar10_1,0.02,sat,0.11,sat,0.65,sat,sat,0.27,0.17,0.15,0.15,$\delta$,$\delta$,$\delta$,sat
bk4x3,0.0,sat,0.01,sat,0.01,sat,sat,0.0,0.01,0.0,0.0,$\delta$,$\delta$,$\delta$,sat
blend,0.0,sat,0.01,sat,0.04,sat,sat,0.01,0.01,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
blend2,0.04,sat,0.12,sat,0.31,sat,sat,0.07,0.04,0.04,0.04,$\delta$,$\delta$,$\delta$,sat
bley_xl1,7869.26,sat,,,,,sat,576.64,89.18,88.54,83.45,$\delta$,$\delta$,$\delta$,sat
blp-ar98,2.84,sat,3.76,sat,21.23,sat,sat,5.72,3.31,3.31,2.94,$\delta$,$\delta$,$\delta$,sat
blp-ic97,2.13,sat,1.87,sat,13.57,sat,sat,3.17,1.88,1.85,1.63,$\delta$,$\delta$,$\delta$,sat
bnatt350,0.04,sat,0.43,sat,1.37,sat,sat,0.98,0.61,0.57,0.52,$\delta$,$\delta$,$\delta$,sat
bnatt400,0.05,sat,0.53,sat,1.61,sat,sat,1.13,0.69,0.65,0.68,$\delta$,$\delta$,$\delta$,sat
bnl1,61.43,sat,,,,,sat,0.26,0.17,0.16,0.16,$\delta$,$\delta$,$\delta$,sat
bnl2,13.13,sat,,,,,sat,0.7,0.42,0.39,0.4,$\delta$,$\delta$,$\delta$,sat
boeing1,0.04,sat,0.11,sat,0.43,sat,sat,0.12,0.08,0.08,0.08,$\delta$,$\delta$,$\delta$,sat
boeing2,0.02,sat,0.05,sat,0.11,sat,sat,0.04,0.03,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
bore3d,0.09,sat,0.95,sat,0.19,sat,sat,0.06,0.04,0.04,0.04,$\delta$,$\delta$,$\delta$,sat
box1,0.0,unsat,0.02,unsat,0.04,unsat,unsat,0.06,0.03,0.03,0.03,,,,unsat
brandy,0.23,sat,,,623.11,sat,sat,0.07,0.04,0.04,0.06,$\delta$,$\delta$,$\delta$,sat
buildingenergy,,,,,,,sat,175.55,2028.45,,114.82,$\delta$,,$\delta$,sat
cap6000,41.5,sat,0.77,sat,3.42,sat,sat,1.28,0.85,0.93,0.81,$\delta$,$\delta$,$\delta$,sat
capri,0.02,sat,0.2,sat,0.25,sat,sat,0.1,0.05,0.05,0.05,$\delta$,$\delta$,$\delta$,sat
car4,0.17,sat,6.31,sat,7.31,sat,sat,4.02,2.35,2.49,2.13,$\delta$,$\delta$,$\delta$,sat
cari,0.34,sat,0.8,sat,11.98,sat,sat,2.83,2.02,2.05,2.04,$\delta$,$\delta$,$\delta$,sat
