file,timeY,resultY,timeZ,resultZ,timeC,resultC,resultDc,smtTimeDc,smtTimeDO,smtTimeDOOOI,smtTimeDOI,resultDO,resultDOOOI,resultDOI,result
0003-labyrinth-11-0,1.38,sat,4.13,sat,12.89,sat,sat,5348.44,1447.64,22402.5,14931.0,$\delta$,$\delta$,$\delta$,sat
0011-labyrinth-12-0,2.39,sat,5.93,sat,22.69,sat,sat,12783.6,1909.14,1658.33,1499.05,$\delta$,$\delta$,$\delta$,sat
0018-labyrinth-11-0,3.39,sat,6.12,sat,31.33,sat,sat,5381.87,2309.79,2029.85,1741.7,$\delta$,$\delta$,$\delta$,sat
0028-labyrinth-12-0,6.02,sat,7.3,sat,44.94,sat,sat,14020.5,2192.88,2048.26,1803.67,$\delta$,$\delta$,$\delta$,sat
0036-labyrinth-17-0,47.4,sat,31.46,sat,216.42,sat,,,28873.6,28039.9,31764.1,$\delta$,$\delta$,$\delta$,sat
0043-labyrinth-13-0,9.65,sat,9.03,sat,86.15,sat,sat,22307.1,5076.95,4990.99,4509.5,$\delta$,$\delta$,$\delta$,sat
0051-labyrinth-12-0,13.09,sat,5.92,sat,29.15,sat,sat,9204.37,3749.88,41894.8,2958.04,$\delta$,$\delta$,$\delta$,sat
0059-labyrinth-13-0,8.22,sat,8.04,sat,49.34,sat,sat,26640.6,6384.15,4479.32,5480.58,$\delta$,$\delta$,$\delta$,sat
0067-labyrinth-18-0,10.94,sat,37.98,sat,231.89,sat,,,,,,,,,sat
0075-labyrinth-13-0,584.79,sat,16.93,sat,169.36,sat,sat,32227.3,7092.99,4978.87,7080.23,$\delta$,$\delta$,$\delta$,sat
0084-labyrinth-17-0,389.36,sat,206.23,sat,298.49,sat,,,,,,,,,sat
0092-labyrinth-17-0,16.67,sat,30.42,sat,136.27,sat,,,41210.9,30927.5,39351.2,$\delta$,$\delta$,$\delta$,sat
0100-labyrinth-17-0,42.82,sat,44.41,sat,411.21,sat,,,37004.4,29414.1,35356.6,$\delta$,$\delta$,$\delta$,sat
0110-labyrinth-16-0,39.54,sat,131.91,sat,129.88,sat,,,24036.8,,24797.2,$\delta$,,$\delta$,sat
0132-labyrinth-12-0,4.99,sat,12.82,sat,68.88,sat,sat,15982.5,3651.96,2785.71,3062.03,$\delta$,$\delta$,$\delta$,sat
0143-labyrinth-14-0,16.08,sat,64.72,sat,57.24,sat,,,15903.7,15284.2,19879.4,$\delta$,$\delta$,$\delta$,sat
0150-labyrinth-16-0,3145.32,sat,420.92,sat,2644.05,sat,,,27451.0,32275.0,33372.3,$\delta$,$\delta$,$\delta$,sat
0159-labyrinth-20-0,74.28,sat,47.85,sat,452.44,sat,,,,,,,,,sat
0165-labyrinth-13-0,85.91,sat,25.12,sat,75.16,sat,sat,31594.9,7833.2,9127.28,8888.15,$\delta$,$\delta$,$\delta$,sat
0175-labyrinth-15-0,40.23,sat,25.19,sat,92.27,sat,,,21243.1,20516.9,20711.1,$\delta$,$\delta$,$\delta$,sat
0198-labyrinth-19-0,1692.19,sat,518.25,sat,690.96,sat,,,,,,,,,sat
0206-labyrinth-20-0,,,8596.01,sat,14799.0,sat,,,,,,,,,sat
1,3.72,unsat,5.9,unsat,4.56,unsat,unsat,129.22,71.57,60.98,106.67,,,,unsat
10,4.64,unsat,6.84,unsat,5.02,unsat,unsat,123.65,75.58,83.14,61.33,,,,unsat
11,0.0,sat,0.01,sat,0.06,sat,sat,0.07,0.05,0.05,0.04,$\delta$,$\delta$,$\delta$,sat
12,0.04,sat,1.54,sat,1.97,sat,sat,42.05,10.1,11.6,9.31,$\delta$,$\delta$,$\delta$,sat
13,4.68,unsat,5.87,unsat,3.83,unsat,unsat,127.89,70.39,241.53,66.04,,,,unsat
14,0.0,sat,0.56,sat,0.84,sat,sat,0.03,0.03,0.03,0.07,$\delta$,$\delta$,$\delta$,sat
15,0.0,sat,0.03,sat,0.07,sat,sat,0.04,0.04,0.04,0.04,$\delta$,$\delta$,$\delta$,sat
16,3.78,unsat,5.5,unsat,3.56,unsat,unsat,124.95,63.29,53.7,64.99,,,,unsat
17,0.0,sat,0.02,sat,0.06,sat,sat,0.06,0.04,0.04,0.07,$\delta$,$\delta$,$\delta$,sat
18,0.0,sat,0.14,sat,0.7,sat,sat,0.83,0.05,0.05,0.06,$\delta$,$\delta$,$\delta$,sat
19,0.0,sat,0.12,sat,0.09,sat,sat,0.02,0.02,0.03,0.04,$\delta$,$\delta$,$\delta$,sat
1_1,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.0,0.02,0.02,0.02,,,,unsat
1_3,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.03,0.01,0.03,0.03,,,,unsat
1_4,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.02,0.03,0.02,0.03,,,,unsat
2,0.03,sat,0.02,sat,0.06,sat,sat,0.08,0.04,0.03,0.04,$\delta$,$\delta$,$\delta$,sat
20,0.0,sat,0.12,sat,0.1,sat,sat,0.04,0.04,0.05,0.08,$\delta$,$\delta$,$\delta$,sat
2013POPL-BenAmGen-Ex3.20.bpl_Iterat...,69.33,unsat,141.04,unsat,80.91,unsat,,,0.13,0.12,0.22,$\delta$,$\delta$,$\delta$,unsat
2013POPL-BenAmGen-Ex3.20.bpl_Iterat...,69.34,unsat,140.76,unsat,88.66,unsat,,,0.13,0.12,0.14,$\delta$,$\delta$,$\delta$,unsat
2013POPL-BenAmGen-Ex4.2.bpl_Iterati...,187.12,unsat,275.5,unsat,209.19,unsat,,,0.18,0.16,0.17,$\delta$,$\delta$,$\delta$,unsat
2013POPL-BenAmGen-Ex4.2.bpl_Iterati...,185.88,unsat,275.76,unsat,208.7,unsat,,,0.18,0.18,0.19,$\delta$,$\delta$,$\delta$,unsat
21,0.0,sat,0.02,sat,0.08,sat,sat,0.05,0.03,0.04,0.05,$\delta$,$\delta$,$\delta$,sat
22,0.0,sat,0.41,sat,0.15,sat,sat,0.06,0.04,0.04,0.05,$\delta$,$\delta$,$\delta$,sat
23,0.07,sat,0.17,sat,0.09,sat,sat,0.48,0.41,0.42,0.37,$\delta$,$\delta$,$\delta$,sat
24,1.58,sat,0.15,sat,0.19,sat,sat,16.97,16.23,16.13,15.08,$\delta$,$\delta$,$\delta$,sat
25,0.0,sat,0.05,sat,0.09,sat,sat,0.04,0.03,0.03,0.05,$\delta$,$\delta$,$\delta$,sat
26,0.0,sat,0.03,sat,0.08,sat,sat,0.08,0.08,0.08,0.07,$\delta$,$\delta$,$\delta$,sat
27,0.0,sat,0.18,sat,0.14,sat,sat,0.04,0.04,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
28,0.7,sat,0.12,sat,0.19,sat,sat,1.88,0.42,0.43,0.39,$\delta$,$\delta$,$\delta$,sat
29,0.0,sat,0.01,sat,0.06,sat,sat,0.04,0.02,0.03,0.03,$\delta$,$\delta$,$\delta$,sat
2_1,0.0,unsat,,,0.05,unsat,unsat,0.02,0.02,0.02,0.04,,,,unsat
2_3,0.0,unsat,,,0.03,unsat,unsat,0.01,0.01,0.04,0.02,,,,unsat
2_4,0.0,unsat,0.01,unsat,0.04,unsat,unsat,0.03,0.02,0.02,0.02,,,,unsat
3,1.84,sat,0.28,sat,0.6,sat,sat,109.37,38.24,195.18,58.5,$\delta$,$\delta$,$\delta$,sat
3_1,0.0,unsat,0.01,unsat,0.05,unsat,unsat,0.16,0.03,0.07,0.05,,,,unsat
3_3,0.0,unsat,0.01,unsat,0.06,unsat,unsat,0.16,0.03,0.05,0.05,,,,unsat
3_4,0.0,unsat,0.01,unsat,0.06,unsat,unsat,0.03,0.03,0.05,0.05,,,,unsat
4,3.74,unsat,5.72,unsat,4.06,unsat,unsat,174.44,69.44,87.32,76.04,,,,unsat
4_1,0.0,unsat,0.01,unsat,0.02,unsat,unsat,0.03,0.03,0.03,0.03,,,,unsat
4_3,0.0,unsat,0.01,unsat,0.06,unsat,unsat,0.01,0.01,0.03,0.02,,,,unsat
4_4,0.0,unsat,0.01,unsat,0.05,unsat,unsat,0.02,0.02,0.03,0.04,,,,unsat
5,3.45,unsat,5.76,unsat,3.31,unsat,unsat,144.24,63.12,509.44,73.57,,,,unsat
6,5.93,unsat,8.87,unsat,5.44,unsat,unsat,143.69,64.76,506.64,74.75,,,,unsat
7,0.08,sat,0.72,sat,0.24,sat,sat,72.42,0.27,0.25,0.26,$\delta$,$\delta$,$\delta$,sat
8,3.98,unsat,5.85,unsat,3.6,unsat,unsat,161.62,67.58,68.46,69.79,,,,unsat
9,4.06,unsat,5.16,unsat,4.51,unsat,unsat,143.29,69.92,73.06,73.69,,,,unsat
Arthan1A-chunk-0015,0.0,sat,0.01,sat,0.03,sat,sat,0.01,0.0,0.01,0.01,$\delta$,$\delta$,$\delta$,sat
