file,assertions,precision,timeUnit,iterations,actualPrecisionS,actualPrecisionQ,timeS,timeQ,resultS,resultQ
aa01,9727,0.1,s,1,0.1,0.0,17,31,sat,sat
aa01,9727,0.001,s,1,0.001,0.0,17,31,sat,sat
aa01,9727,0.0,s,1,0.0,0.0,17,31,sat,sat
aa03,9452,0.1,s,1,0.1,0.0,17,26,sat,sat
aa03,9452,0.001,s,1,0.001,0.0,17,26,sat,sat
aa03,9452,0.0,s,1,0.0,0.0,17,26,sat,sat
aa3,9452,0.1,s,1,0.1,0.0,15,14,sat,sat
aa3,9452,0.001,s,1,0.001,0.0,14,15,sat,sat
aa3,9452,0.0,s,1,0.0,0.0,14,14,sat,sat
aa4,7621,0.1,s,1,0.1,0.0,12,10,sat,sat
aa4,7621,0.001,s,1,0.001,0.0,12,10,sat,sat
aa4,7621,0.0,s,1,0.0,0.0,12,10,sat,sat
aa5,9109,0.1,s,1,0.1,0.0,15,15,sat,sat
aa5,9109,0.001,s,1,0.001,0.0,15,15,sat,sat
aa5,9109,0.0,s,1,0.0,0.0,15,15,sat,sat
aa6,7938,0.1,s,1,0.1,0.0,13,10,sat,sat
aa6,7938,0.001,s,1,0.001,0.0,13,10,sat,sat
aa6,7938,0.0,s,1,0.0,0.0,13,10,sat,sat
air02,6824,0.1,s,1,0.1,0.0,91,83,sat,sat
air02,6824,0.001,s,1,0.001,0.0,91,82,sat,sat
air02,6824,0.0,s,1,0.0,0.0,90,82,sat,sat
air03,10881,0.1,s,1,0.1,0.0,127,114,sat,sat
air03,10881,0.001,s,1,0.001,0.0,126,109,sat,sat
air03,10881,0.0,s,1,0.0,0.0,126,107,sat,sat
air04,9727,0.1,s,1,0.1,0.0,17,31,sat,sat
air04,9727,0.001,s,1,0.001,0.0,17,31,sat,sat
air04,9727,0.0,s,1,0.0,0.0,17,31,sat,sat
air05,7621,0.1,s,1,0.1,0.0,14,13,sat,sat
air05,7621,0.001,s,1,0.001,0.0,14,13,sat,sat
air05,7621,0.0,s,1,0.0,0.0,14,13,sat,sat
air06,9452,0.1,s,1,0.1,0.0,17,26,sat,sat
air06,9452,0.001,s,1,0.001,0.0,17,26,sat,sat
air06,9452,0.0,s,1,0.0,0.0,17,26,sat,sat
bas1lp,9872,0.1,s,1,0.1,0.0,115,117,sat,sat
bas1lp,9872,0.001,s,1,0.001,0.0,113,114,sat,sat
bas1lp,9872,0.0,s,1,0.0,0.0,113,110,sat,sat
baxter,42558,0.1,s,1,0.1,0.0,87,84,sat,sat
baxter,42558,0.001,s,1,0.001,0.0,86,84,sat,sat
baxter,42558,0.0,s,1,0.0,0.0,86,85,sat,sat
bgindy,12787,0.1,s,1,0.1,0.1,41,34,unsat,unsat
bgindy,12787,0.001,s,1,0.001,0.001,41,34,unsat,unsat
